Tijdstempel;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used LLMs to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
3-31-2026 12:20:14;AI;yes;0;mu;nee;non-binary;yes;27/6/2001;200;0;10;67;3:30;Pagga;Pagga
3-31-2026 12:20:19;AI;yes;1;mu;ja;male;no;31.01.97;500;20;0;42;24:00;Sun;No rain
3-31-2026 12:20:20;Masters in Science, Artificial Intelligence;yes;0;mu;ja;male;yes;15-03-2001;120;70;2;42;4;Productive Day;Indulging in Hobbies
3-31-2026 12:20:34;Systems biology & bioinformatics;yes;0;mu;ja;female;yes;5 November ;310;0;8;67;22:00;Social interactions;Good weather
3-31-2026 12:20:39;AI;yes;1;mu;ja;female;yes;14-01-2002;250;30;7;55;22.15;Sun;Sports
3-31-2026 12:20:43;Computational Science;no;1;mu;ja;female;not willing to say;08/28/1999;450;10;5;45;9PM;good food;nice weather
3-31-2026 12:20:45;Business Analytics;yes;0;mu;nee;male;yes;1-11-2002;110;10;7;4;23:00;Free time;Chilling with friends
3-31-2026 12:20:49;Computational science;yes;unknown;mu;ja;male;yes;November 22 2001;140;1;2;87;3 AM;productive improvements;talking with family and chilling by myself
3-31-2026 12:20:54;business analytics;yes;0;mu;nee;female;not willing to say;29/11/1999;300;60;0;29;5 am;good weather;productive day
3-31-2026 12:20:55;Business analytics;yes;0;mu;ja;female;yes;04/05/2003;200;80;4;4;01:00;Sunny weather ;Fun activities planned
3-31-2026 12:20:57;AI;yes;1;mu;ja;male;yes;14-01;180;60;14;30;23:00;Fun;More fun
3-31-2026 12:20:57;AI;yes;unknown;mu;ja;male;yes;01-05-1999;90;60;2;11;3;Walking;Reading
3-31-2026 12:20:58;Computer Science;yes;1;sigma;ja;male;yes;big bang;500;101;-1;skibidi;24:01;Ice cream;2 Ice creams
